platform,group,metric_key,display_name,symbol_or_short_name,mathematical_definition,physical_meaning,unit,inputs_required,implementation_status,notes
VMAT_IMRT,MI components,mi_1_0_mlcx2_mia,MI(1.0) MLCX2 Acceleration,MI(1.0) MLCX2 Acceleration,"Same acceleration-component MI formula as MI(1.0), but restricted to MLCX2 leaf positions.",Leaf acceleration contribution to the modulation index with threshold factor 1.0 for MLCX2.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX2.
VMAT_IMRT,MI components,mi_1_0_mlcx2_mit,MI(1.0) MLCX2 Total,MI(1.0) MLCX2 Total,"Same total-component MI formula as MI(1.0), but restricted to MLCX2 leaf positions.",Total modulation index with threshold factor 1.0 for MLCX2.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX2.
VMAT_IMRT,MI family,mi_2_0,MI(2.0),MI(2.0),"MI(k=2.0) = (MIs, MIa, MIt) at threshold factor k = 2.0",Modulation index using a 2.0 threshold factor.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"The base key returns a tuple of speed, acceleration, and total MI components before flattening."
VMAT_IMRT,MI components,mi_2_0_mis,MI(2.0) Speed,MI(2.0) Speed,"MIs(2.0) = mean_beams[ mean_CP min(v / sigma_v, 2.0) ]",Leaf speed contribution to the modulation index with threshold factor 2.0.,dimensionless,"MLC speed, MLC acceleration, speed/acceleration spread, gantry and dose-rate weights",implemented_flattened,Flattened export component of the Park 2014 modulation-index tuple.
VMAT_IMRT,MI components,mi_2_0_mia,MI(2.0) Acceleration,MI(2.0) Acceleration,"MIa(2.0) = mean_beams[ mean_CP min(max(v / sigma_v, a / (alpha * sigma_a)), 2.0) ]",Leaf acceleration contribution to the modulation index with threshold factor 2.0.,dimensionless,"MLC speed, MLC acceleration, speed/acceleration spread, gantry and dose-rate weights",implemented_flattened,Flattened export component of the Park 2014 modulation-index tuple.
VMAT_IMRT,MI components,mi_2_0_mit,MI(2.0) Total,MI(2.0) Total,"MIt(2.0) = weighted mean over control points of min(max(v / sigma_v, a / (alpha * sigma_a)), 2.0)",Total modulation index with threshold factor 2.0.,dimensionless,"MLC speed, MLC acceleration, speed/acceleration spread, gantry and dose-rate weights",implemented_flattened,Flattened export component of the Park 2014 modulation-index tuple.
VMAT_IMRT,MI components,mi_2_0_mlcx1_mis,MI(2.0) MLCX1 Speed,MI(2.0) MLCX1 Speed,"Same speed-component MI formula as MI(2.0), but restricted to MLCX1 leaf positions.",Leaf speed contribution to the modulation index with threshold factor 2.0 for MLCX1.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX1.
VMAT_IMRT,MI components,mi_2_0_mlcx1_mia,MI(2.0) MLCX1 Acceleration,MI(2.0) MLCX1 Acceleration,"Same acceleration-component MI formula as MI(2.0), but restricted to MLCX1 leaf positions.",Leaf acceleration contribution to the modulation index with threshold factor 2.0 for MLCX1.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX1.
VMAT_IMRT,MI components,mi_2_0_mlcx1_mit,MI(2.0) MLCX1 Total,MI(2.0) MLCX1 Total,"Same total-component MI formula as MI(2.0), but restricted to MLCX1 leaf positions.",Total modulation index with threshold factor 2.0 for MLCX1.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX1.
VMAT_IMRT,MI components,mi_2_0_mlcx2_mis,MI(2.0) MLCX2 Speed,MI(2.0) MLCX2 Speed,"Same speed-component MI formula as MI(2.0), but restricted to MLCX2 leaf positions.",Leaf speed contribution to the modulation index with threshold factor 2.0 for MLCX2.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX2.
VMAT_IMRT,MI components,mi_2_0_mlcx2_mia,MI(2.0) MLCX2 Acceleration,MI(2.0) MLCX2 Acceleration,"Same acceleration-component MI formula as MI(2.0), but restricted to MLCX2 leaf positions.",Leaf acceleration contribution to the modulation index with threshold factor 2.0 for MLCX2.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX2.
VMAT_IMRT,MI components,mi_2_0_mlcx2_mit,MI(2.0) MLCX2 Total,MI(2.0) MLCX2 Total,"Same total-component MI formula as MI(2.0), but restricted to MLCX2 leaf positions.",Total modulation index with threshold factor 2.0 for MLCX2.,dimensionless,Per-layer MLC speed and acceleration traces,implemented_flattened,Layer-specific flattened export for MLCX2.
VMAT_IMRT,Delivery dynamics,dt,dt,dt,dt = mean(control-point time increment) * N_control_points,Beam-on delivery time.,s,"Control-point MLC motion, dose rate, gantry angle, and meterset timing",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Delivery dynamics,dt_mlcx1,dt MLCX1,dt MLCX1,"Same formula as dt, but computed using MLCX1 apertures only.",Beam-on delivery time. Reported for MLCX1.,s,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for dt.
VMAT_IMRT,Delivery dynamics,dt_mlcx2,dt MLCX2,dt MLCX2,"Same formula as dt, but computed using MLCX2 apertures only.",Beam-on delivery time. Reported for MLCX2.,s,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for dt.
VMAT_IMRT,Shape modulation,pi,PI,PI,"PI = perimeter^2 / (4 * pi * area), aggregated over apertures",Irregularity of the aperture shape relative to its area.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Shape modulation,pi_mlcx1,PI MLCX1,PI MLCX1,"Same formula as PI, but computed using MLCX1 apertures only.",Irregularity of the aperture shape relative to its area. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for PI.
VMAT_IMRT,Shape modulation,pi_mlcx2,PI MLCX2,PI MLCX2,"Same formula as PI, but computed using MLCX2 apertures only.",Irregularity of the aperture shape relative to its area. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for PI.
VMAT_IMRT,Shape modulation,pm,PM,PM,PM = mean over adjacent control points of normalized aperture-area change,Variation in aperture area between successive control points.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Shape modulation,pm_mlcx1,PM MLCX1,PM MLCX1,"Same formula as PM, but computed using MLCX1 apertures only.",Variation in aperture area between successive control points. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for PM.
VMAT_IMRT,Shape modulation,pm_mlcx2,PM MLCX2,PM MLCX2,"Same formula as PM, but computed using MLCX2 apertures only.",Variation in aperture area between successive control points. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for PM.
VMAT_IMRT,Shape modulation,md,MD,MD,MD = union-area / weighted mean aperture area,Degree of modulation present in the delivered field shapes.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Shape modulation,md_mlcx1,MD MLCX1,MD MLCX1,"Same formula as MD, but computed using MLCX1 apertures only.",Degree of modulation present in the delivered field shapes. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for MD.
VMAT_IMRT,Shape modulation,md_mlcx2,MD MLCX2,MD MLCX2,"Same formula as MD, but computed using MLCX2 apertures only.",Degree of modulation present in the delivered field shapes. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for MD.
VMAT_IMRT,Aperture geometry,pa,PA,PA,PA = weighted mean(aperture area),Average beam's-eye-view aperture area.,mm^2,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,pa_mlcx1,PA MLCX1,PA MLCX1,"Same formula as PA, but computed using MLCX1 apertures only.",Average beam's-eye-view aperture area. Reported for MLCX1.,mm^2,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for PA.
VMAT_IMRT,Aperture geometry,pa_mlcx2,PA MLCX2,PA MLCX2,"Same formula as PA, but computed using MLCX2 apertures only.",Average beam's-eye-view aperture area. Reported for MLCX2.,mm^2,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for PA.
VMAT_IMRT,Aperture geometry,efs,EFS,EFS,EFS = weighted mean(4 * area / perimeter),Equivalent square field size of the aperture.,mm,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,efs_mlcx1,EFS MLCX1,EFS MLCX1,"Same formula as EFS, but computed using MLCX1 apertures only.",Equivalent square field size of the aperture. Reported for MLCX1.,mm,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for EFS.
VMAT_IMRT,Aperture geometry,efs_mlcx2,EFS MLCX2,EFS MLCX2,"Same formula as EFS, but computed using MLCX2 apertures only.",Equivalent square field size of the aperture. Reported for MLCX2.,mm,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for EFS.
VMAT_IMRT,Aperture geometry,psmall,psmall,psmall,psmall = weighted fraction(EFS < 30 mm),Fraction of apertures classified as small fields.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,psmall_mlcx1,psmall MLCX1,psmall MLCX1,"Same formula as psmall, but computed using MLCX1 apertures only.",Fraction of apertures classified as small fields. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for psmall.
VMAT_IMRT,Aperture geometry,psmall_mlcx2,psmall MLCX2,psmall MLCX2,"Same formula as psmall, but computed using MLCX2 apertures only.",Fraction of apertures classified as small fields. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for psmall.
VMAT_IMRT,Aperture geometry,sas_5mm,SAS5mm,SAS5mm,SAS5mm = active leaf gaps below 5 mm / all active leaf gaps,Fraction of leaf gaps smaller than 5 mm.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,sas_5mm_mlcx1,SAS5mm MLCX1,SAS5mm MLCX1,"Same formula as SAS5mm, but computed using MLCX1 apertures only.",Fraction of leaf gaps smaller than 5 mm. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for SAS5mm.
VMAT_IMRT,Aperture geometry,sas_5mm_mlcx2,SAS5mm MLCX2,SAS5mm MLCX2,"Same formula as SAS5mm, but computed using MLCX2 apertures only.",Fraction of leaf gaps smaller than 5 mm. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for SAS5mm.
VMAT_IMRT,Aperture geometry,sas_10mm,SAS10mm,SAS10mm,SAS10mm = active leaf gaps below 10 mm / all active leaf gaps,Fraction of leaf gaps smaller than 10 mm.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,sas_10mm_mlcx1,SAS10mm MLCX1,SAS10mm MLCX1,"Same formula as SAS10mm, but computed using MLCX1 apertures only.",Fraction of leaf gaps smaller than 10 mm. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for SAS10mm.
VMAT_IMRT,Aperture geometry,sas_10mm_mlcx2,SAS10mm MLCX2,SAS10mm MLCX2,"Same formula as SAS10mm, but computed using MLCX2 apertures only.",Fraction of leaf gaps smaller than 10 mm. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for SAS10mm.
VMAT_IMRT,Aperture geometry,sas_20mm,SAS20mm,SAS20mm,SAS20mm = active leaf gaps below 20 mm / all active leaf gaps,Fraction of leaf gaps smaller than 20 mm.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,sas_20mm_mlcx1,SAS20mm MLCX1,SAS20mm MLCX1,"Same formula as SAS20mm, but computed using MLCX1 apertures only.",Fraction of leaf gaps smaller than 20 mm. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for SAS20mm.
VMAT_IMRT,Aperture geometry,sas_20mm_mlcx2,SAS20mm MLCX2,SAS20mm MLCX2,"Same formula as SAS20mm, but computed using MLCX2 apertures only.",Fraction of leaf gaps smaller than 20 mm. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for SAS20mm.
VMAT_IMRT,Aperture geometry,em,EM,EM,EM = aperture edge metric calculated from BEV perimeter relative to area,Relative amount of aperture edge compared with open field area.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,em_mlcx1,EM MLCX1,EM MLCX1,"Same formula as EM, but computed using MLCX1 apertures only.",Relative amount of aperture edge compared with open field area. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for EM.
VMAT_IMRT,Aperture geometry,em_mlcx2,EM MLCX2,EM MLCX2,"Same formula as EM, but computed using MLCX2 apertures only.",Relative amount of aperture edge compared with open field area. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for EM.
VMAT_IMRT,Aperture geometry,bjar,BJAR,BJAR,BJAR = aperture area / jaw-defined area,Ratio between aperture area and jaw-defined area.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,
VMAT_IMRT,Aperture geometry,mad,MAD,MAD,MAD = mean distance of open leaf ends from the beam central axis,Average distance of the aperture opening from the beam central axis.,mm,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,mad_mlcx1,MAD MLCX1,MAD MLCX1,"Same formula as MAD, but computed using MLCX1 apertures only.",Average distance of the aperture opening from the beam central axis. Reported for MLCX1.,mm,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for MAD.
VMAT_IMRT,Aperture geometry,mad_mlcx2,MAD MLCX2,MAD MLCX2,"Same formula as MAD, but computed using MLCX2 apertures only.",Average distance of the aperture opening from the beam central axis. Reported for MLCX2.,mm,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for MAD.
VMAT_IMRT,Aperture geometry,alg,ALG,ALG,ALG = mean(opposing leaf gap over active leaf pairs),Average gap between opposing leaf pairs.,mm,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,alg_mlcx1,ALG MLCX1,ALG MLCX1,"Same formula as ALG, but computed using MLCX1 apertures only.",Average gap between opposing leaf pairs. Reported for MLCX1.,mm,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for ALG.
VMAT_IMRT,Aperture geometry,alg_mlcx2,ALG MLCX2,ALG MLCX2,"Same formula as ALG, but computed using MLCX2 apertures only.",Average gap between opposing leaf pairs. Reported for MLCX2.,mm,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for ALG.
VMAT_IMRT,Aperture geometry,alg_sd,ALG SD,ALG SD,ALG SD = std(opposing leaf gap over active leaf pairs),Standard deviation of the opposing leaf gap.,mm,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,alg_sd_mlcx1,ALG SD MLCX1,ALG SD MLCX1,"Same formula as ALG SD, but computed using MLCX1 apertures only.",Standard deviation of the opposing leaf gap. Reported for MLCX1.,mm,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for ALG SD.
VMAT_IMRT,Aperture geometry,alg_sd_mlcx2,ALG SD MLCX2,ALG SD MLCX2,"Same formula as ALG SD, but computed using MLCX2 apertures only.",Standard deviation of the opposing leaf gap. Reported for MLCX2.,mm,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for ALG SD.
VMAT_IMRT,Aperture geometry,perimeter,P,P,P = mean aperture perimeter in beam's-eye view,Average perimeter of the beam's-eye-view aperture.,mm,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,perimeter_mlcx1,P MLCX1,P MLCX1,"Same formula as P, but computed using MLCX1 apertures only.",Average perimeter of the beam's-eye-view aperture. Reported for MLCX1.,mm,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for P.
VMAT_IMRT,Aperture geometry,perimeter_mlcx2,P MLCX2,P MLCX2,"Same formula as P, but computed using MLCX2 apertures only.",Average perimeter of the beam's-eye-view aperture. Reported for MLCX2.,mm,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for P.
VMAT_IMRT,Aperture geometry,asr,ASR,ASR,ASR = mean number of disconnected open aperture sub-regions,Average number of disconnected open sub-regions in the aperture.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,asr_mlcx1,ASR MLCX1,ASR MLCX1,"Same formula as ASR, but computed using MLCX1 apertures only.",Average number of disconnected open sub-regions in the aperture. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for ASR.
VMAT_IMRT,Aperture geometry,asr_mlcx2,ASR MLCX2,ASR MLCX2,"Same formula as ASR, but computed using MLCX2 apertures only.",Average number of disconnected open sub-regions in the aperture. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for ASR.
VMAT_IMRT,Aperture geometry,axjd,AXJD,AXJD,AXJD = mean distance between aperture extent and X jaws,Distance between aperture extent and X jaws.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,
VMAT_IMRT,Aperture geometry,ayjd,AYJD,AYJD,AYJD = mean distance between aperture extent and Y jaws,Distance between aperture extent and Y jaws.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,
VMAT_IMRT,Aperture geometry,cam,CAM,CAM,CAM = converted-aperture complexity metric from transformed field geometry,Aperture complexity score based on converted field geometry.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,cam_mlcx1,CAM MLCX1,CAM MLCX1,"Same formula as CAM, but computed using MLCX1 apertures only.",Aperture complexity score based on converted field geometry. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for CAM.
VMAT_IMRT,Aperture geometry,cam_mlcx2,CAM MLCX2,CAM MLCX2,"Same formula as CAM, but computed using MLCX2 apertures only.",Aperture complexity score based on converted field geometry. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for CAM.
VMAT_IMRT,Aperture geometry,eam,EAM,EAM,EAM = combined edge-and-area aperture complexity metric,Combined edge-and-area measure of aperture complexity.,dimensionless,"MLC leaf positions, jaw positions, gantry angle, and control-point meterset weights",implemented,"For Halcyon/Ethos-style plans, the workflow also exports per-layer MLCX1 and MLCX2 variants."
VMAT_IMRT,Aperture geometry,eam_mlcx1,EAM MLCX1,EAM MLCX1,"Same formula as EAM, but computed using MLCX1 apertures only.",Combined edge-and-area measure of aperture complexity. Reported for MLCX1.,dimensionless,"MLCX1 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for EAM.
VMAT_IMRT,Aperture geometry,eam_mlcx2,EAM MLCX2,EAM MLCX2,"Same formula as EAM, but computed using MLCX2 apertures only.",Combined edge-and-area measure of aperture complexity. Reported for MLCX2.,dimensionless,"MLCX2 leaf positions, control-point weights, and beam geometry",implemented_flattened,Layer-specific flattened export for EAM.
VMAT_IMRT,Delivery dynamics,mlc_speed_acc,MLC Speed and Acceleration Proportions (Park 2015),MLC Speed/Acceleration Profile,"For each leaf, compute the proportion of valid intervals falling into each Park 2015 speed/acceleration bin; then average over leaves and beams.","Leaf-wise mean proportions for Park et al. VMAT delivery bins. Speed bins: 0-4, 4-8, 8-12, 12-16, 16-20 mm/s. Acceleration bins: 0-40, 40-80, 80-120, 120-160, 160-200 mm/s^2.",dimensionless,"Control-point MLC motion, dose rate, gantry angle, and meterset timing",implemented,The base key returns binned speed/acceleration proportions and summary statistics before flattening.
VMAT_IMRT,Motion bins,speed_0_4,Park Speed 0-4 mm/s,Park Speed 0-4 mm/s,mean_leaf [ proportion(intervals with speed in 0-4 mm/s) ],Leaf-wise mean proportion of valid control-point intervals with speed in 0-4 mm/s.,proportion,Per-leaf MLC speed over valid control-point intervals,implemented_flattened,"Park 2015 speed-bin proportion, averaged over leaves."
VMAT_IMRT,Motion bins,speed_4_8,Park Speed 4-8 mm/s,Park Speed 4-8 mm/s,mean_leaf [ proportion(intervals with speed in 4-8 mm/s) ],Leaf-wise mean proportion of valid control-point intervals with speed in 4-8 mm/s.,proportion,Per-leaf MLC speed over valid control-point intervals,implemented_flattened,"Park 2015 speed-bin proportion, averaged over leaves."
VMAT_IMRT,Motion bins,speed_8_12,Park Speed 8-12 mm/s,Park Speed 8-12 mm/s,mean_leaf [ proportion(intervals with speed in 8-12 mm/s) ],Leaf-wise mean proportion of valid control-point intervals with speed in 8-12 mm/s.,proportion,Per-leaf MLC speed over valid control-point intervals,implemented_flattened,"Park 2015 speed-bin proportion, averaged over leaves."
VMAT_IMRT,Motion bins,speed_12_16,Park Speed 12-16 mm/s,Park Speed 12-16 mm/s,mean_leaf [ proportion(intervals with speed in 12-16 mm/s) ],Leaf-wise mean proportion of valid control-point intervals with speed in 12-16 mm/s.,proportion,Per-leaf MLC speed over valid control-point intervals,implemented_flattened,"Park 2015 speed-bin proportion, averaged over leaves."
VMAT_IMRT,Motion bins,speed_16_20,Park Speed 16-20 mm/s,Park Speed 16-20 mm/s,mean_leaf [ proportion(intervals with speed in 16-20 mm/s) ],Leaf-wise mean proportion of valid control-point intervals with speed in 16-20 mm/s.,proportion,Per-leaf MLC speed over valid control-point intervals,implemented_flattened,"Park 2015 speed-bin proportion, averaged over leaves."
VMAT_IMRT,Motion bins,acc_0_40,Park Acceleration 0-40 mm/s^2,Park Acceleration 0-40 mm/s^2,mean_leaf [ proportion(intervals with acceleration in 0-40 mm/s^2) ],Leaf-wise mean proportion of valid control-point intervals with acceleration in 0-40 mm/s^2.,proportion,Per-leaf MLC acceleration over valid control-point intervals,implemented_flattened,"Park 2015 acceleration-bin proportion, averaged over leaves."
VMAT_IMRT,Motion bins,acc_40_80,Park Acceleration 40-80 mm/s^2,Park Acceleration 40-80 mm/s^2,mean_leaf [ proportion(intervals with acceleration in 40-80 mm/s^2) ],Leaf-wise mean proportion of valid control-point intervals with acceleration in 40-80 mm/s^2.,proportion,Per-leaf MLC acceleration over valid control-point intervals,implemented_flattened,"Park 2015 acceleration-bin proportion, averaged over leaves."
VMAT_IMRT,Motion bins,acc_80_120,Park Acceleration 80-120 mm/s^2,Park Acceleration 80-120 mm/s^2,mean_leaf [ proportion(intervals with acceleration in 80-120 mm/s^2) ],Leaf-wise mean proportion of valid control-point intervals with acceleration in 80-120 mm/s^2.,proportion,Per-leaf MLC acceleration over valid control-point intervals,implemented_flattened,"Park 2015 acceleration-bin proportion, averaged over leaves."
VMAT_IMRT,Motion bins,acc_120_160,Park Acceleration 120-160 mm/s^2,Park Acceleration 120-160 mm/s^2,mean_leaf [ proportion(intervals with acceleration in 120-160 mm/s^2) ],Leaf-wise mean proportion of valid control-point intervals with acceleration in 120-160 mm/s^2.,proportion,Per-leaf MLC acceleration over valid control-point intervals,implemented_flattened,"Park 2015 acceleration-bin proportion, averaged over leaves."
VMAT_IMRT,Motion bins,acc_160_200,Park Acceleration 160-200 mm/s^2,Park Acceleration 160-200 mm/s^2,mean_leaf [ proportion(intervals with acceleration in 160-200 mm/s^2) ],Leaf-wise mean proportion of valid control-point intervals with acceleration in 160-200 mm/s^2.,proportion,Per-leaf MLC acceleration over valid control-point intervals,implemented_flattened,"Park 2015 acceleration-bin proportion, averaged over leaves."
VMAT_IMRT,Motion bins,speed_average,Mean Leaf Speed (mm/s),Mean Leaf Speed (mm/s),mean_leaf(mean_interval(speed)),"Leaf-wise mean proportions for Park et al. VMAT delivery bins. Speed bins: 0-4, 4-8, 8-12, 12-16, 16-20 mm/s. Acceleration bins: 0-40, 40-80, 80-120, 120-160, 160-200 mm/s^2.",mm/s,Per-leaf motion time series,implemented_flattened,Park 2015 summary statistic flattened for export.
VMAT_IMRT,Motion bins,acc_average,Mean Leaf Acceleration (mm/s^2),Mean Leaf Acceleration (mm/s^2),mean_leaf(mean_interval(acceleration)),"Leaf-wise mean proportions for Park et al. VMAT delivery bins. Speed bins: 0-4, 4-8, 8-12, 12-16, 16-20 mm/s. Acceleration bins: 0-40, 40-80, 80-120, 120-160, 160-200 mm/s^2.",mm/s^2,Per-leaf motion time series,implemented_flattened,Park 2015 summary statistic flattened for export.
VMAT_IMRT,Motion bins,speed_std,Mean Leaf Speed SD (mm/s),Mean Leaf Speed SD (mm/s),mean_leaf(std_interval(speed)),"Leaf-wise mean proportions for Park et al. VMAT delivery bins. Speed bins: 0-4, 4-8, 8-12, 12-16, 16-20 mm/s. Acceleration bins: 0-40, 40-80, 80-120, 120-160, 160-200 mm/s^2.",mm/s,Per-leaf motion time series,implemented_flattened,Park 2015 summary statistic flattened for export.
